chlorides;total_sulfur_dioxide;density;pH;sulphates;alcohol
0.064;29.0;0.99323;3.35;0.61;12.1
0.063;18.0;0.99191;3.45;0.56;12.2
0.1369999999999999;9.0;0.99476;3.5;0.4;10.9
0.08;28.0;0.99444;3.78;0.61;12.5
0.1;57.0;0.99598;3.6;0.74;11.7
0.064;15.0;0.99576;3.3;0.8;11.2
0.081;68.0;0.99501;3.36;0.66;11.2
0.087;68.0;0.9955;3.12;0.44;9.2
0.073;88.0;0.99612;3.3;0.53;9.8
0.088;91.0;0.9979;3.29;0.62;10.1
0.068;29.0;0.99524;3.41;0.52;11.1
0.071;63.0;0.996;3.28;0.61;9.2
0.064;27.0;0.9929;3.33;0.59;12.8
0.083;41.0;0.99532;3.34;0.47;10.5
0.086;65.0;0.99558;3.4;0.54;10.1
0.086;69.0;0.99556;3.4;0.53;10.1
0.083;91.0;0.99616;3.26;0.58;9.8
0.0409999999999999;46.0;0.99258;4.01;0.59;12.5
0.091;41.0;0.99638;3.18;0.69;11.9
0.414;64.0;0.99652;2.9;1.33;9.1
0.094;88.0;0.99796;3.26;0.66;10.1
0.0579999999999999;18.0;0.99392;3.18;0.55;11.4
0.06;55.0;0.99495;3.18;0.82;11.0
0.077;34.0;0.9948;3.39;0.6;10.6
0.073;38.0;0.9955;3.34;0.52;9.3
0.083;91.0;0.99616;3.29;0.56;9.8
0.107;67.0;0.99668;3.26;0.46;9.2
0.075;25.0;0.99581;3.09;0.43;9.7
0.079;48.0;0.9976;3.18;0.51;9.6
0.166;11.0;0.99608;3.39;0.52;10.0
0.069;40.0;0.99387;3.38;0.66;12.6
0.057;26.0;0.99448;3.36;0.45;9.5
0.084;31.0;0.99538;3.36;0.54;10.5
0.085;31.0;0.99589;3.37;0.51;10.4
0.077;20.0;0.99852;3.09;0.53;11.0
0.063;28.0;0.99613;3.25;0.53;10.2
0.0559999999999999;13.0;0.99472;3.52;0.56;11.4
0.078;12.0;0.99587;3.34;0.39;9.5
0.081;41.0;0.99518;3.41;0.52;10.8
0.069;73.0;0.99654;3.34;0.57;10.0
0.065;46.0;0.99332;3.32;0.51;11.8
0.086;57.0;0.9969;3.37;0.46;10.3
0.077;28.0;0.99568;3.35;0.52;10.0
0.086;32.0;0.99464;3.36;0.44;10.1
0.084;28.0;0.99464;3.36;0.44;10.1
0.078;67.0;0.99648;3.6;0.59;11.1
0.168;98.0;0.99736;3.28;0.5;9.5
0.091;28.0;0.99704;3.07;0.65;10.0333333333333
0.1119999999999999;38.0;0.99699;3.24;0.56;10.9
0.093;54.0;0.99724;3.36;0.54;10.1
0.08;63.0;0.99652;3.29;0.48;9.8
0.096;31.0;0.995;3.46;0.53;11.8
0.115;42.0;0.9971;3.18;0.62;9.5
0.094;45.0;0.99576;3.24;0.5;9.8
0.088;105.0;0.99725;3.25;1.18;10.5
0.079;74.0;0.99656;3.27;0.5;9.8
0.069;8.0;0.99396;3.33;0.37;10.4
0.415;66.0;0.99623;3.0;1.17;9.2
0.153;14.0;0.99476;3.21;1.03;11.6
0.11;89.0;0.99664;3.24;0.45;9.3
0.267;29.0;0.99471;3.32;0.51;9.8
0.083;100.0;0.99586;3.26;0.52;9.9
0.086;31.0;0.9946;3.11;0.46;10.0
0.09;74.0;0.9953;3.71;0.62;12.2
0.078;28.0;0.99609;3.29;0.51;9.9
0.077;35.0;0.99557;3.36;0.62;10.8
0.074;25.0;0.99534;3.38;0.45;9.6
0.08;105.0;0.99613;3.3;0.49;9.9
0.107;84.0;0.99593;3.19;0.5;9.5
0.076;85.0;0.99668;3.19;0.42;9.2
0.1;23.0;0.9961;3.3;0.58;9.6
0.083;49.0;0.99718;3.35;0.68;10.3
0.08;111.0;0.99524;3.1;0.53;9.7
0.068;33.0;0.99292;3.58;0.59;12.5
0.094;33.0;0.99612;3.37;0.58;11.0
0.07;12.0;0.9942;3.17;0.48;9.8
0.078;59.0;0.99612;3.3;0.48;10.2
0.07;73.0;0.99669;3.32;0.48;9.2
0.092;12.0;0.99745;3.31;0.65;9.55
0.09;11.0;0.99745;3.31;0.65;9.55
0.08;104.0;0.99584;3.28;0.52;9.9
0.083;28.0;0.9966;3.52;0.62;10.2
0.068;24.0;0.9956;3.42;0.72;11.1
0.08;141.0;0.9962;3.25;0.51;9.9
0.052;24.0;0.9963;3.44;0.82;11.9
0.061;13.0;0.996;3.23;1.1;10.0
0.0819999999999999;46.0;0.9985;3.43;0.62;10.7
0.062;34.0;0.9952;3.28;0.9;11.3
0.062;22.0;0.9974;3.22;0.94;10.9
0.064;54.0;0.995;3.54;0.93;10.7
0.048;53.0;0.995;3.27;1.01;12.4
0.0819999999999999;16.0;0.9936;3.5;0.44;11.9
0.071;19.0;0.9963;3.56;0.73;10.6
0.104;89.0;0.9963;3.04;0.9;10.1
0.077;15.0;0.9994;3.2;0.78;9.6
0.065;18.0;0.9966;3.56;0.84;9.4
0.064;37.0;0.9952;3.35;0.77;12.1
0.077;19.0;0.995;3.16;0.46;9.8
0.077;133.0;0.9956;3.27;0.45;9.9
0.079;58.0;0.9965;3.34;0.58;9.4
0.079;55.0;0.9956;3.39;0.84;11.4
0.123;31.0;0.9968;3.5;0.67;11.0
0.076;23.0;0.9974;3.26;0.7;9.6
0.046;60.0;0.9971;3.41;0.71;12.1
0.078;23.0;0.9957;3.3;0.58;11.2
0.072;55.0;0.9962;3.31;0.63;11.0
0.049;67.0;0.996;3.33;0.93;11.3
0.066;47.0;0.9956;3.37;0.62;10.4
0.069;74.0;0.9958;3.26;0.54;9.9
0.042;11.0;0.9944;3.48;0.85;11.7
0.069;25.0;0.9955;3.42;0.74;10.1
0.214;95.0;1.00369;3.18;0.77;9.0
0.1689999999999999;90.0;0.99914;3.15;0.65;8.5
0.07;39.0;0.99577;3.53;0.54;11.1
0.052;8.0;0.996;3.41;0.47;10.3
0.072;92.0;0.99566;3.32;0.68;11.066666666666698
0.062;28.0;0.9947;3.23;0.73;11.3
0.094;98.0;0.99713;3.16;0.52;9.56666666666667
0.078;30.0;0.99712;3.4;0.75;9.8
0.0579999999999999;22.0;0.99322;3.38;0.49;11.7
0.072;92.0;0.99566;3.32;0.68;11.1
0.094;98.0;0.99713;3.16;0.52;9.6
0.08;39.0;0.99701;3.4;0.74;9.7
0.08;54.0;0.99683;3.4;0.73;9.7
0.0559999999999999;29.0;0.99472;3.23;0.76;11.3
0.104;17.0;0.99732;3.33;0.78;11.0
0.062;53.0;0.99374;3.35;0.76;11.6
0.074;85.0;0.99706;3.41;0.58;9.0
0.073;23.0;0.99974;3.21;0.69;10.9
0.052;17.0;0.99467;3.5;0.63;10.9
0.05;89.0;0.99236;3.3;0.5;10.55
0.067;20.0;0.99603;3.39;0.6;10.5
0.054;15.0;0.99458;3.32;0.8;11.9
0.054;64.0;0.99724;3.41;0.68;10.4
0.06;13.0;0.99664;3.59;0.61;10.0
0.075;31.0;0.99545;3.36;0.58;10.4
0.076;39.0;0.99522;3.34;0.53;10.8
0.063;53.0;0.9958;3.41;0.67;9.7
0.062;54.0;0.99728;3.3;0.65;10.0
0.067;32.0;0.99648;3.52;0.57;11.0
0.061;49.0;0.99705;3.31;0.55;9.7
0.084;24.0;0.99578;2.88;0.47;9.7
0.067;16.0;0.99334;3.43;0.52;12.6
0.073;44.0;0.99656;3.38;0.79;11.1
0.071;45.0;0.99336;3.38;0.54;11.0
0.205;82.0;1.00242;3.16;0.75;8.8
0.048;89.0;0.99182;3.54;0.88;13.566666666666698
0.048;89.0;0.99182;3.54;0.88;13.6
0.0819999999999999;14.0;0.99808;3.4;0.52;10.2
0.104;22.0;0.99828;3.39;0.68;10.6
0.08;13.0;0.99498;3.66;0.62;10.1
0.114;9.0;0.99719;3.33;0.57;10.3
0.042;12.0;0.99542;3.35;0.61;10.7
0.06;11.0;0.99592;3.53;0.64;10.9
0.074;25.0;0.99606;3.37;0.55;9.7
0.07;23.0;0.99546;3.38;0.6;10.3
0.066;17.0;0.99496;3.52;0.78;10.6
0.049;13.0;0.9942;3.72;0.58;11.4
0.048;11.0;0.99448;3.44;0.76;10.8
0.039;18.0;0.99344;3.39;0.56;12.4
0.05;18.0;0.99348;3.57;0.54;11.95
0.089;147.0;0.99636;3.26;0.59;9.7
0.066;28.0;0.99459;3.42;0.7;10.0
0.08;28.0;0.99492;3.35;0.81;10.6
0.054;16.0;0.99508;3.45;0.63;11.5
0.068;13.0;0.99582;3.53;0.58;10.8
0.076;15.0;0.99508;3.26;0.53;9.6
0.083;64.0;0.99642;3.16;0.53;9.4
0.078;60.0;0.99638;3.31;0.54;9.8
0.077;14.0;0.99555;3.51;0.69;11.0
0.106;12.0;0.99605;3.36;0.55;11.4
0.078;12.0;0.996;3.55;0.63;9.95
0.07;14.0;0.99562;3.51;0.66;10.8
0.074;25.0;0.99814;3.38;0.72;10.6
0.062;20.0;0.9941;3.28;0.7;11.1
0.047;48.0;0.99661;3.47;0.77;9.7
0.068;27.0;0.99712;3.44;0.67;9.8
0.061;17.0;0.99588;3.53;0.65;10.4
0.078;65.0;0.99294;3.33;0.6;10.5
0.074;65.0;0.99842;3.53;0.72;9.23333333333333
0.074;65.0;0.99842;3.53;0.72;9.25
0.071;58.0;0.99633;3.42;0.97;10.6
0.063;44.0;0.99489;3.38;0.83;10.3
0.114;20.0;0.99647;3.32;0.63;10.5
0.106;27.0;0.99665;3.44;0.58;10.2
0.0819999999999999;23.0;0.99585;3.39;0.43;9.05
0.076;61.0;0.9953;3.34;0.6;10.4
0.075;47.0;0.99522;3.39;0.78;10.0
0.064;34.0;0.99552;3.33;0.64;9.7
0.064;38.0;0.99553;3.3;0.65;9.6
0.071;24.0;0.9951;3.29;0.66;10.8
0.096;59.0;0.99714;3.31;0.67;10.1
0.063;52.0;0.99608;3.42;0.6;10.2
0.063;18.0;0.99444;3.42;0.69;11.3
0.081;28.0;0.99631;3.6;0.66;10.2
0.0579999999999999;22.0;0.99573;3.21;0.68;9.9
0.074;84.0;0.99717;3.39;0.61;9.0
0.064;29.0;0.99397;3.42;0.62;11.7
0.075;35.0;0.9959;3.36;0.59;9.7
0.077;45.0;0.99528;3.6;0.68;10.3
0.059;31.0;0.99484;3.5;0.64;10.2
0.081;26.0;0.99538;3.57;0.63;12.0
0.065;60.0;0.99714;3.46;0.78;9.9
0.071;32.0;0.99646;3.56;0.63;11.6
0.054;49.0;0.99666;3.4;0.76;10.9
0.064;38.0;0.99472;3.3;0.56;10.75
0.064;19.0;0.99758;3.25;0.57;10.4
0.063;19.0;0.9955;3.17;0.81;11.2
0.059;28.0;0.99531;3.36;0.64;10.1
0.072;26.0;0.99575;3.36;0.61;10.2
0.048;26.0;0.99306;3.55;0.51;12.1
0.099;50.0;0.99783;3.1;0.58;10.4
0.074;24.0;0.99419;3.24;0.7;11.4
0.087;26.0;0.99783;3.45;0.53;9.5
0.083;27.0;0.99768;3.44;0.54;9.4
0.103;54.0;0.99586;3.51;0.66;11.3
0.08;28.0;0.99765;3.41;0.6;9.4
0.062;23.0;0.99627;3.54;0.6;11.0
0.065;24.0;0.99514;3.44;0.68;10.55
0.066;20.0;0.99636;3.53;0.56;9.9
0.235;115.0;0.99787;3.22;0.56;9.5
0.08;131.0;0.99622;3.21;0.52;9.9
0.076;20.0;0.99546;3.29;0.54;10.1
0.061;42.0;0.99489;3.39;0.82;10.9
0.059;52.0;0.99494;3.34;0.71;11.2
0.077;42.0;0.99629;3.34;0.59;9.2
0.0559999999999999;34.0;0.99396;3.48;0.57;11.5
0.23;35.0;0.9934;3.37;0.93;12.4
0.038;25.0;0.99514;3.44;0.65;11.1
0.069;104.0;0.99632;3.33;0.51;9.5
0.075;50.0;0.99467;3.58;0.67;12.5
0.074;92.0;0.99677;3.39;0.48;10.5
0.06;20.0;0.99474;3.26;0.64;11.8
0.081;29.0;0.99588;3.3;0.78;10.8
0.076;27.0;0.99622;3.54;0.6;11.9
0.118;20.0;0.9954;3.42;0.67;11.3
0.053;32.0;0.99402;3.54;0.6;11.3
0.068;26.0;0.9947;3.36;0.6;11.9
0.053;27.0;0.99362;3.57;0.5;11.9
0.074;98.0;0.99578;3.33;0.62;9.8
0.061;34.0;0.99484;3.29;0.8;11.6
0.066;48.0;0.99494;3.3;0.84;11.5
0.065;60.0;0.99492;3.34;0.85;11.4
0.066;28.0;0.99483;3.55;0.66;10.9
0.068;102.0;0.99414;3.27;0.78;12.8
0.073;79.0;0.9977;3.29;0.54;9.2
0.077;35.0;0.99314;3.32;0.82;11.6
0.089;26.0;0.99402;3.67;0.56;11.6
0.076;40.0;0.99574;3.42;0.75;11.0
0.068;38.0;0.99651;3.42;0.82;9.5
0.09;44.0;0.9949;3.45;0.58;10.5
0.062;51.0;0.99512;3.52;0.76;11.2
0.075;44.0;0.99547;3.57;0.71;10.2
0.067;42.0;0.99549;3.39;0.66;11.0
